""	Spain	Mc LEHM TRADUCTORES,S.L. Vendor Manager			5-9 languages supported	
Corporate Translations, Inc.	77 Hartland Street East Hartford, Connecticut United States	Donna Bishop 860-727-6000	http://www.corptransinc.com	50-100 employees	100+ languages supported	572610_r4a799d13321a3.jpg
Milega The Translation Agency	Barcelona, Cataluña Spain	Milega SL	http://www.milega-translation.com	4-9 employees	100+ languages supported	125592_r4ed8c0af8e994.jpg
PSG Translations	Corso Stamira, 61 Ancona, Marche Italy	PSG +39 (071) 994 5150	http://www.psgtranslations.com	10-25 employees	100+ languages supported	46336_r52ce21be4058d.gif
""	Madrid, Madrid	Seprotec	http://www.seprotec.com/	100-500 employees	100+ languages supported	68935_r5003fab8259bf.jpg
Arancho Doc Group	Via Rivani 83 Bologna, Emilia-Romagna Italy	Arancho Doc +39 (051) 5881777	http://www.aranchodoc.com	50-100 employees	100+ languages supported	9012_r50f571449ce2e.jpg
TRANSLATED	Via Nepal 29, Rome Rome, Lazio Italy	TRANSLATED SRL	http://www.translated.net	25-50 employees	100+ languages supported	25108_r4d662aab6a301.jpg
Acclaro	1 Bridge Street, Suite 31 Irvington, New York United States	acclaro	http://www.acclaro.com	50-100 employees	25-49 languages supported	42635_r4b699f2d90f78.gif
FACI S.c. a r.l.	Via Carlo Poerio 43 Milano, Lombardia Italy	Faci S.c. a r.l. +39 02 277401	http://www.faciscarl.it	4-9 employees	100+ languages supported	562161_r4f5dfc5384297.jpg
LingoFocus Co., Ltd	Rosana Building, 60 Nguyen Dinh Chieu, District 1 Ho Chi Minh City Vietnam	Lingofocus (+84)822203783	http://www.lingofocus.net/en	4-9 employees	10-24 languages supported	1953233_r58455a264e297.jpg
""	Maslak Mah. Büyükdere Cad. Meydan Sok. No:1 BeybiGiz Plaza , K:15 D:55 Maslak/İstanbul Istanbul, Istanbul Turkey	Semantos	http://www.semantos.net	10-25 employees	25-49 languages supported	2060003_r555f880180c9b.png
TranzPress Kft.	12 Detrekő u. Budapest, Budapest Hungary	Tranzpress +36-1-225-1426	http://www.tranzpress.hu	10-25 employees	10-24 languages supported	751780_r5540a48f381ec.jpg
Flix Translations Group	Buenos Aires, Buenos Aires Argentina	Flix Translations Group SRL	http://www.flixtranslationsgroup.com	10-25 employees	5-9 languages supported	1514174_r586cfb855ab2a.jpg
Intradoc srl	Bologna, Emilia-Romagna Italy	intradoc +390510404200	http://www.intradoceurope.com		100+ languages supported	956689_r583583b19a1b1.jpg
PRODOC Translations GmbH	Weinbach, Hessen Germany	Stefan Weimar +49 (6471) 91267-10	http://https://www.prodoc-translations.com	4-9 employees	25-49 languages supported	577224_r493fd77876642.gif
""	Rua Parque Domingos Luiz, 175 São Paulo, São Paulo Brazil	Alberto Cury +55 11 97684-7842	http://www.betaplantranslation.com/	10-25 employees	10-24 languages supported	1730996_r582f6f8dbb9cc.png
""		Delta		10-25 employees	25-49 languages supported	31699_r491c1c18cc4c2.jpg
FolioTS	#74, Sterling Plaza, 2nd Floor,, Canteen Street. Pondicherry, Pondicherry India	FolioTS 91-413-4210456		25-50 employees	50-99 languages supported	114240_r530b456c66c9c.jpg
KennisTranslations	Netherlands	Lein Zoeten +31 208 081 324	http://www.kennistranslations.com	50-100 employees	25-49 languages supported	1147801_r4ae2d67da1072.jpg
Atelierul de traduceri (Translate Studio)	Str. Secerei, nr. 12 Tirgu Mures, Mures Romania	AtelieruldeTrad	http://www.atelieruldetraduceri.ro/	4-9 employees	5-9 languages supported	1682062_r534d473385753.jpg
Academy of Languages T&I Services (AOLTI)		aolti	http://www.aolti.com	4-9 employees	10-24 languages supported	
Novella Libera	Zagreb, Zagrebacka Croatia	NovellaLibera	http://www.proz.com/profile/1997674	Less than 3 employees	10-24 languages supported	1997674_r54646d3b3804b.png
Gengo	United States	Gengo.com	http://www.gengo.com/		25-49 languages supported	942968_r4ff3f635437e0.png
Pro-Active Translations (PA Translations)	1377 Manor Lane New York United States	PATranslations 1-631-666-0555	http://www.PATranslations.com		100+ languages supported	9814_r50f896b9d35de.jpg
IDEST Communication SA	rue l'Éclipse 6 Brussels, Brussels Belgium	idest +32 2 543 1860	http://www.idestnet.com	10-25 employees	25-49 languages supported	754522_r492d011c05db1.jpg
TECHNOGRAFIA LTD	Vassili Kouli 6 Kato Polemidia, Limassol Cyprus	TECHNOGRAFIA +302109512713	http://www.technografia.com	4-9 employees	10-24 languages supported	602096_r589454b389b3f.jpg
""	Shanghai, Shanghai China	The Writers Hut	http://www.hutwriters.com/en/index.aspx		2-4 languages supported	
Traduality Language Solutions	Apodaca, Nuevo León, México C.P. 66636, San Francisco, Heredia, Costa Rica C.P. 40103	Diego Achío +52 (81) 8332 1444	http://www.traduality.com		5-9 languages supported	1262459_r56b92cc45afef.jpg
A WordJourney Translation, LLC	19914 Texas Laurel Trail Humble, Texas United States	WordJourney		4-9 employees	50-99 languages supported	1862437_r52abcbb8e715b.png
altalingua	6 Octavian Goga Blvd., bl.M25/1, ap.1-4 Bucharest, Bucuresti Romania	altalingua RO	http://www.alta-lingua.com	25-50 employees		52477_r4f3547df147c9.png
""	Buenos Aires, Buenos Aires	Wendy Gosselin				
LanguageTop	Delhi, Delhi India	Languagetop	http://www.languagetop.com	10-25 employees	50-99 languages supported	2051920_r56d865331db88.jpg
Aberdeen Broadcast Services	United States	AberCap 949-858-4463	http://www.abercap.com	25-50 employees	100+ languages supported	959269_r5032415171c0b.jpg
GlobalTech Creations	#13, Paripoorna Layout, Phase-3,, Rajankunte, Yelahanka Bangalore, Karnataka India	globaltechcre +91-080-28468012	http://www.globaltechcreations.com	4-9 employees	100+ languages supported	1151609_r4f21178b5cc8a.jpg
""		morseglobal		4-9 employees	100+ languages supported	
Studio Gentile SARL	France	Gentile	http://www.studio-gentile.fr	4-9 employees	100+ languages supported	788161_r4f1e92a04e328.jpg
POZENA	ul. Reymonta 5/3 Poznan, Wielkopolskie Poland	POZENA +48 61 227 84 00	http://www.pozena.com	10-25 employees	100+ languages supported	112076_r4cc97dc9884fb.jpg
""	1 BIS AVENUE LEFEVRE Joinville le Pont, Ile-De-France France	Tradewords	http://www.tradewords.fr	4-9 employees	2-4 languages supported	628776_r58a710dfc97da.jpg
GMD Linguistics, LLC	San Francisco, California United States	Gaby Dubois (+1) 949 331 6874	http://www.gmdlinguistics.com	4-9 employees	100+ languages supported	1796608_r54eb84f1c1b8f.jpg
